Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
0016.HK,SHK PPT,Real Estate,Real Estate - Development,2024,6.57,209.3571521041116,0.023280943265688296,1.3387871458472091,3.75,11.324201145491461,0.15848301050979471,0.35537358422262255,0.050403224772725574,215611194898.79688,818094000000.0,74.4000015258789
0018.HK,ORIENTAL E H,Communication Services,Publishing,2024,0.0313,0.7428925902448789,0.03837751070513617,1.0904633200329907,0.04,10.862619922564814,0.0072215910804074674,0.4576704735528522,0.11764705758606275,815292808.5756302,1956771000.0,0.3400000035762787
0017.HK,NEW WORLD DEV,Real Estate,Real Estate - Diversified,2024,nan,85.87474946515776,-0.039328543419229506,1.9794565136191753,0.2,nan,0.3615627364331194,0.06113554953811073,0.0380952380952381,13212150336.0,445157600000.0,5.25
0025.HK,CHEVALIER INT'L,Industrials,Conglomerates,2024,-1.23,32.47802288991861,-0.018187974154112378,1.9690479017506297,0.22000000000000003,-3.333333255798836,0.22358293613584976,0.1262392085420087,0.053658537833482185,1235198771.2688446,20364555000.0,4.099999904632568
0029.HK,DYNAMIC HOLD,Real Estate,Real Estate Services,2024,nan,30.940602598189344,0.3549860746027342,2.0396052872863115,0.01,nan,0.0003744159902878601,0.3270783060363313,0.0009881423036644183,2405564452.796936,15082155000.0,10.119999885559082
0035.HK,FE CONSORT INTL,Real Estate,Real Estate - Development,2024,0.082,4.805201844928043,0.009174272132226926,3.178011146806906,0.11,11.219512398650005,0.595163056993548,0.19145918244004115,0.1195652152223263,2792080465.369858,47261297000.0,0.9200000166893005
0040.HK,GOLD PEAK,Technology,Electronic Components,2024,-0.401,1.3159616477482257,-0.04831569373188551,3.5286976742027263,0.025,-1.2967580571733508,0.5016617155649616,0.395148279447428,0.04807692484037417,476046986.69869995,7602685000.0,0.5199999809265137
0052.HK,FAIRWOOD HOLD,Consumer Cyclical,Restaurants,2024,0.391,5.0975662470185945,0.022536147389615943,3.4036856171591676,0.35,15.52429711422347,0.4636426283170605,1.1907643525401026,0.05766062439899469,786386732.2392464,2247811000.0,6.070000171661377
0053.HK,GUOCO GROUP,Industrials,Conglomerates,2024,nan,23.878434677215758,0.02642997811627021,1.7138783251182867,3.2,nan,0.33532392473195743,2.96083046916398,0.04526167097776037,23263905261.416016,17350790000.0,70.69999694824219
0057.HK,CHEN HSONG HOLD,Industrials,Specialty Industrial Machinery,2024,nan,4.849127649622993,0.024338582202111613,1.3479690924309116,0.088,nan,0.0041843740573152335,0.29283616759296016,0.06197183285883277,895355367.5005035,4143750000.0,1.4199999570846558
0064.HK,GET NICE,Financial Services,Capital Markets,2024,nan,0.5970122401772316,0.004952473401975181,1.0417450548462766,0.005,nan,0.0,0.20937594171082985,0.04,1207838720.0,7231740000.0,0.125
0077.HK,AMS TRANSPORT,Industrials,Railroads,2024,nan,0.1434282331018593,-0.033814197323042715,9.063102564102564,0.04,nan,0.7587060524357708,3.451203393245697,0.0808080800296506,134596932.33658218,353461000.0,0.4950000047683716
0083.HK,SINO LAND,Real Estate,Real Estate - Development,2024,0.52,18.390990820424296,0.02440890742137249,1.0843454628538445,0.58,15.153846373924841,0.01370713747061172,0.4284706675884861,0.07360405984475682,71036151979.49512,180344000000.0,7.880000114440918
0088.HK,TAI CHEUNG HOLD,Real Estate,Real Estate - Development,2024,nan,10.430083536793022,0.011238821199207731,1.0347001195485104,0.24,nan,0.0059120100834283654,0.2770831215981588,0.08304497968451036,1784664677.9015808,6664400000.0,2.890000104904175
0104.HK,ASIA COMM HOLD,Consumer Cyclical,Specialty Retail,2024,nan,0.5949769920617944,0.0339138369542004,1.7380775088466809,0.0348,nan,0.2661851787135729,0.3865695770441444,0.1513043450813438,171838294.9572401,772605000.0,0.23000000417232513
