Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
0001.HK,CK Hutchison Holdings Limited,Industrials,Conglomerates,2019,nan,nan,nan,nan,3.17,nan,nan,nan,0.05567576867725605,218070217822.42188,nan,56.936798095703125
0003.HK,HK & CHINA GAS,Utilities,Utilities - Regulated Gas,2019,nan,nan,nan,nan,0.298496,nan,nan,nan,0.026603823701116507,209364841366.04297,nan,11.220041275024414
0005.HK,HSBC HOLDINGS,Financial Services,Banks - Diversified,2019,nan,nan,nan,nan,3.994299,nan,nan,nan,0.08232663510266519,869752569629.5,nan,48.5177001953125
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate - Development,2019,nan,nan,nan,nan,1.05,nan,nan,nan,0.05852369130753157,54829614774.94922,nan,17.941452026367188
0008.HK,PCCW,Communication Services,Telecom Services,2019,nan,nan,nan,nan,0.3151,nan,nan,nan,0.10888004560747909,22402709538.19336,nan,2.894010543823242
0006.HK,POWER ASSETS,Utilities,Utilities - Independent Power Producers,2019,3.34,nan,nan,nan,2.8,12.453050670509567,nan,nan,0.06731871374125789,88639662185.68604,nan,41.59318923950195
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate Services,2019,5.01,nan,nan,nan,0.8,2.8879949908532545,nan,nan,0.055291175790916955,19701081751.61914,nan,14.468854904174805
0012.HK,HENDERSON LAND,Real Estate,Real Estate - Diversified,2019,3.51,nan,nan,nan,1.681818,7.921653595405427,nan,nan,0.060486162589630965,134614871120.3125,nan,27.805004119873047
0014.HK,HYSAN DEV,Real Estate,Real Estate Services,2019,nan,nan,nan,nan,1.44,nan,nan,nan,0.06459764629097414,22893935953.927124,nan,22.291833877563477
0019.HK,SWIRE PACIFIC A,Industrials,Conglomerates,2019,6.0,nan,nan,nan,3.1500000000000004,8.265192031860352,nan,nan,0.06351939531183907,39876593011.70801,nan,49.59115219116211
0023.HK,BANK OF E ASIA,Financial Services,Banks - Regional,2019,nan,nan,nan,nan,0.45999999999999996,nan,nan,nan,0.0344780577946493,35090450428.67114,nan,13.341818809509277
0032.HK,CROSS-HAR(HOLD),Consumer Defensive,Education & Training Services,2019,nan,nan,nan,nan,0.4,nan,nan,nan,0.04070093299689409,3662697363.998413,nan,9.827784538269043
0031.HK,CHINA AEROSPACE,Technology,Electronic Components,2019,nan,nan,nan,nan,0.01,nan,nan,nan,0.024564762940351238,1255872043.8259964,nan,0.40708717703819275
0034.HK,KOWLOON DEV,Real Estate,Real Estate - Development,2019,nan,nan,nan,nan,0.6665920000000001,nan,nan,nan,0.12110650551160339,7189615162.605713,nan,5.504179954528809
0038.HK,FIRST TRACTOR,Industrials,Farm & Heavy Construction Machinery,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,580559648.5567093,nan,1.4812462329864502
0045.HK,"The Hongkong and Shanghai Hotels, Limited",Consumer Cyclical,Lodging,2019,nan,nan,nan,nan,0.2,nan,nan,nan,0.024589385846920418,13558207938.802734,nan,8.133590698242188
0046.HK,Computer And Technologies Holdings Limited,Technology,Information Technology Services,2019,0.2263,nan,nan,nan,0.21,10.259672966458552,nan,nan,0.09044846965306878,563492120.9335327,nan,2.3217639923095703
