Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
0003.HK,HK & CHINA GAS,Utilities,Utilities - Regulated Gas,2022,0.281,3.4090055183937404,0.031812324263233716,2.242110922866645,0.35,23.65094996007736,0.3587686302489534,1.9495178001099775,0.052663914283611016,124012141445.25586,168469300000.0,6.645916938781738
0001.HK,CK Hutchison Holdings Limited,Industrials,Conglomerates,2022,9.57,137.87688671029002,0.03193906152448937,1.7741712227081656,2.7,4.342153104744236,0.30774348092233184,0.30138775398749307,0.0649750606752556,159155036799.1914,1148437000000.0,41.554405212402344
0005.HK,HSBC HOLDINGS,Financial Services,Banks - Diversified,2022,0.75,9.92011806588673,0.005275514141388797,15.92512837680956,2.118041,55.91947937011719,0.06925032024700216,4.227732900862308,0.05050216308300991,751830424959.0469,2949286000000.0,41.93960952758789
0002.HK,CLP HOLDINGS,Utilities,Utilities - Regulated Electric,2022,0.37,43.29593044139976,0.004503741113267182,2.0400885093436134,3.1,139.1427839124525,0.25186208299085694,1.189091665723375,0.060214250015652886,130068791855.15137,236026000000.0,51.48283004760742
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate - Development,2022,-0.56,49.6019353150633,-0.007689012153599855,1.4241170917171353,0.6000000000000001,-39.33430399213518,0.09003134230760558,0.444079653257126,0.02723903724450804,67315814238.981445,221745000000.0,22.027210235595703
0008.HK,PCCW,Communication Services,Telecom Services,2022,0.0205,1.4778337667099801,0.004134057056298914,7.447238542890717,0.3725,141.3993370242235,0.5432655894976016,1.9614428052011343,0.12850648446961385,22438905691.500977,95064000000.0,2.898686408996582
0006.HK,POWER ASSETS,Utilities,Utilities - Independent Power Producers,2022,2.65,40.75669456193856,0.05976070329112317,1.0883060662928723,2.8200000000000003,13.971962119048497,0.03426534217736731,0.908456880849599,0.07616331438126574,78905839299.95361,94527000000.0,37.025699615478516
0011.HK,HANG SENG BANK,Financial Services,Banks - Regional,2022,5.53,84.96815232589974,0.006085914607381396,11.590432380404755,3.9,20.830665574582532,0.02035270911096899,1.3557265572353565,0.03385605325190267,216825415478.32227,1854446000000.0,115.1935806274414
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate Services,2022,2.0,68.16806611343702,0.011998198945853602,1.4595040363887046,0.86,6.098259925842285,0.20414595601543256,0.17891837845874345,0.07051191737134899,16607024970.16211,226534000000.0,12.19651985168457
0012.HK,HENDERSON LAND,Real Estate,Real Estate - Diversified,2022,1.91,67.73839632438789,0.017438985258309895,1.5349469219358427,1.8,12.261746191853629,0.16673776401970591,0.34574091648533073,0.0768575994167504,113385042079.53125,529790000000.0,23.41993522644043
0014.HK,HYSAN DEV,Real Estate,Real Estate Services,2022,-1.12,78.30887844611256,-0.009709226702471364,1.4286484995983744,1.44,-19.39584357397897,0.22890110351193724,0.2774058987169014,0.0662881344041757,22310091998.40808,119165000000.0,21.723344802856445
0016.HK,SHK PPT,Real Estate,Real Estate - Development,2022,8.82,207.71084423291512,0.03165062465405347,1.330984731616629,4.95,10.930291865688332,0.15698016387494784,0.46413163747612435,0.0513457917402625,279382182652.2031,807567000000.0,96.4051742553711
0018.HK,ORIENTAL E H,Communication Services,Publishing,2022,0.0695,0.7737801928337893,0.08102676141753098,1.1039845927292917,0.05,7.121063393654582,0.0034273002223638993,0.6396052915835011,0.10102767250642894,1186763953.1373978,2057888000.0,0.49491390585899353
0017.HK,NEW WORLD DEV,Real Estate,Real Estate - Diversified,2022,0.5,104.9461945813572,0.005782071210486429,2.1387485536901916,2.06,37.89759826660156,0.317470213101468,0.18055727707793298,0.10871401324740092,47686549111.58789,627180100000.0,18.94879913330078
0019.HK,SWIRE PACIFIC A,Industrials,Conglomerates,2022,2.81,321.4199073365121,0.009648868586780015,1.3761204800972349,2.75,19.272845665330987,0.16857113941752574,0.1684920413559838,0.050778577477698754,43547779040.70215,434766000000.0,54.15669631958008
0023.HK,BANK OF E ASIA,Financial Services,Banks - Regional,2022,1.32,40.33177393186032,0.004937558406252655,8.301440580745867,0.99,6.490525332364169,0.017662617166482597,0.2124254056663935,0.115553050268554,22533449756.874023,882825000000.0,8.567493438720703
0028.HK,TIAN AN,Real Estate,Real Estate - Development,2022,1.04,18.336381418771204,0.03103781541706449,1.7905700534477826,0.2,3.408893713584313,0.12211027531599247,0.19334509798636526,0.056413519594745186,5197583935.665527,49248247000.0,3.5452494621276855
0025.HK,CHEVALIER INT'L,Industrials,Conglomerates,2022,2.13,35.20771207031613,0.032409120551441246,1.7686568378738325,0.44999999999999996,2.9669528835816004,0.20762890009984872,0.1794950387405865,0.07120692977731687,1903896157.634735,19887087000.0,6.319609642028809
0027.HK,GALAXY ENT,Consumer Cyclical,Resorts & Casinos,2022,-0.787,14.609267029284913,-0.04241246920196422,1.2558888327088507,0.3,-63.77984789759867,0.0996145913212001,3.4358151024820485,0.00597672182851063,219596466567.8711,80961332000.0,50.194740295410156
0029.HK,DYNAMIC HOLD,Real Estate,Real Estate Services,2022,0.131,8.979916198297042,0.011600260216417541,1.2340097711427789,0.01,68.16208089580972,0.035501964842483046,0.9943558937715277,0.0011199170691293871,2122514305.3207397,2685457000.0,8.929232597351074
0031.HK,CHINA AEROSPACE,Technology,Electronic Components,2022,-0.0389,2.48254281603494,-0.00785532235788324,1.5601792315177334,0.025,-10.236035888789553,0.10483244014016141,0.1603927205210826,0.06278539161383287,1228398766.2984924,15265828000.0,0.3981817960739136
0032.HK,CROSS-HAR(HOLD),Consumer Defensive,Education & Training Services,2022,-1.19,18.407665393036535,-0.05679110668488404,1.113086489863138,0.42,-8.30131017861246,0.003506826922390122,0.5366546436837016,0.04251632198733011,3681620438.5375977,7840136000.0,9.878559112548828
0034.HK,KOWLOON DEV,Real Estate,Real Estate - Development,2022,0.927825,14.106142444863508,0.025435225585232483,2.576962649210046,0.747664,7.038689487095366,0.5023522685810962,0.4629665480049283,0.11448500117612595,8530429482.421387,47765804000.0,6.530672073364258
0035.HK,FE CONSORT INTL,Real Estate,Real Estate - Development,2022,0.492,5.777288947323403,0.027502541953082674,3.0599957610112645,0.24,3.1544515272466147,0.5803243306603808,0.26863640810701805,0.1546401565645754,4710088375.62735,54804316000.0,1.5519901514053345
0038.HK,FIRST TRACTOR,Industrials,Farm & Heavy Construction Machinery,2022,0.6061,15.20152306942389,0.052422547398185464,1.9995726955265583,0.143815,5.440942487038513,0.1686991635088603,0.21693584427912338,0.04360996783351509,1292522189.3119812,12991565481.68,3.297755241394043
0040.HK,GOLD PEAK,Technology,Electronic Components,2022,0.198,2.3976274402020596,0.016738633948757076,2.913303032864737,0.0,2.7890136145582103,0.44232429357701075,0.23032131115248955,0.0,505547907.6977577,9373704000.0,0.5522246956825256
0041.HK,Great Eagle Holdings Limited,Real Estate,Real Estate - Diversified,2022,-0.25,75.99078186985521,-0.0016069587326240234,1.5859119629284468,0.8300000000000001,-60.110633850097656,0.29421350906400856,0.1977563342914588,0.05523149212299658,11236525988.79541,112886533000.0,15.027658462524414
0046.HK,Computer And Technologies Holdings Limited,Technology,Information Technology Services,2022,0.1902,2.1493572311495672,0.06928768294300579,1.2970783286273326,0.175,11.426903597313272,0.01772612713525623,1.0111846614936875,0.08051911124840498,527483467.4835205,678490000.0,2.1733970642089844
0045.HK,"The Hongkong and Shanghai Hotels, Limited",Consumer Cyclical,Lodging,2022,-0.3,21.60605619194824,-0.008624803379226243,1.5664728682170543,0.0,-26.71515146891276,0.3178452130573868,0.37093976658546995,0.0,13359766633.342285,56581000000.0,8.014545440673828
0050.HK,HK FERRY (HOLD),Real Estate,Real Estate - Diversified,2022,3.65,20.260410033195125,0.1724222094249996,1.0438283092441847,0.25,1.9771731389711982,0.0024321064058829235,0.35619624407506534,0.03464195893363756,2571116032.1685486,7534621000.0,7.216681957244873
0052.HK,FAIRWOOD HOLD,Consumer Cyclical,Restaurants,2022,0.3291,5.513079589048497,0.018243521923887205,3.2724029592459636,0.5800000000000001,38.37192214321344,0.5075284477432627,2.290589020774693,0.04592895419875519,1636021139.8420334,2337268000.0,12.628199577331543
0053.HK,GUOCO GROUP,Industrials,Conglomerates,2022,0.77,22.358840487125935,0.015049878248994855,1.7290450624925733,2.0,78.5665140523539,0.35165130767512287,2.705695577333082,0.033059919085525184,19906340795.859375,16602327000.0,60.4962158203125
0057.HK,CHEN HSONG HOLD,Industrials,Specialty Industrial Machinery,2022,0.338,5.089431088131601,0.048158331954267546,1.371961943488881,0.161,4.6826664512679415,0.00625896439797739,0.31098589078442757,0.10172224861708176,997968961.8358765,4429327000.0,1.5827412605285645
0062.HK,TRANSPORT INT'L,Industrials,Railroads,2022,1.17,31.611349266145663,0.022968422419478097,1.4859425723067758,0.5,8.516782776922243,0.20811378544594333,0.3152233637705146,0.05017744828580228,5071013068.474365,23904428000.0,9.964635848999023
