Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
ING,ASX:ING,Inghams Group Limited (ASX:ING),https://www.listcorp.com/asx/ing/inghams-group,"	1167070000",3.14,0,0,Consumer Staples
SGF,ASX:SGF,SG Fleet Group Limited (ASX:SGF),https://www.listcorp.com/asx/sgf/sg-fleet-group,"	1166170000",3.41,0,0,Industrials
DUI,ASX:DUI,Diversified United Investment Limited (ASX:DUI),https://www.listcorp.com/asx/dui/diversified-united-investment-limited,"	1164950000",5.4,0,0,Financials
GDG,ASX:GDG,Generation Development Group Limited (ASX:GDG),https://www.listcorp.com/asx/gdg/generation-development-group,"	1164540000",3.89,0,0,Financials
VGE,ASX:VGE,Vanguard FTSE Emerging Markets Shares ETF (ASX:VGE),https://www.listcorp.com/asx/vge/vanguard-ftse-emerging-markets-shares-etf,"	1164340000",79.72,0,0,Unclassified
SLC,ASX:SLC,Superloop Limited (ASX:SLC),https://www.listcorp.com/asx/slc/superloop-limited,"	1156720000",2.26,0,0,Communication Services
MAF,ASX:MAF,MA Financial Group Limited (ASX:MAF),https://www.listcorp.com/asx/maf/ma-financial-group-limited,"	1155150000",6.37,0,0,Financials
A4N,ASX:A4N,Alpha HPA Limited (ASX:A4N),https://www.listcorp.com/asx/a4n/alpha-hpa-limited,"	1145930000",1.01,0,0,Materials
WLD,ASX:IWLD,iShares Core MSCI World ex Australia ESG ETF (ASX:IWLD),https://www.listcorp.com/asx/iwld/ishares-core-msci-world-ex-australia-esg-etf,"	1140850000",62.21,0,0,Unclassified
ESG,ASX:VESG,Vanguard Ethically Conscious International Shares Index ETF (ASX:VESG),https://www.listcorp.com/asx/vesg/vanguard-ethically-conscious-international-shares-index-etf,"	1139330000",101.35,0,0,Unclassified
HSN,ASX:HSN,Hansen Technologies Limited (ASX:HSN),https://www.listcorp.com/asx/hsn/hansen-technologies-limited,"	1138680000",5.59,0,0,Information Technology
ADT,ASX:ADT,Adriatic Metals Plc (ASX:ADT),https://www.listcorp.com/asx/adt/adriatic-metals-plc,"	1137270000",4.09,0,0,Materials
VUL,ASX:VUL,Vulcan Energy Resources Limited (ASX:VUL),https://www.listcorp.com/asx/vul/vulcan-energy-resources-limited,"	1123490000",5.97,0,0,Materials
ABB,ASX:ABB,Aussie Broadband Limited (ASX:ABB),https://www.listcorp.com/asx/abb/aussie-broadband-limited,"	1120790000",3.79,0,0,Communication Services
FRA,ASX:IFRA,VanEck FTSE Global Infrastructure (Hedged) ETF (ASX:IFRA),https://www.listcorp.com/asx/ifra/vaneck-ftse-global-infrastructure-hedged-etf,"	1120540000",22.42,0,0,Unclassified
ACK,ASX:HACK,BetaShares Global Cybersecurity ETF (ASX:HACK),https://www.listcorp.com/asx/hack/betashares-global-cybersecurity-etf,"	1113320000",13.75,0,0,Unclassified
GBL,ASX:HGBL,BetaShares Global Shares ETF - Currency Hedged (ASX:HGBL),https://www.listcorp.com/asx/hgbl/betashares-global-shares-etf-currency-hedged,"	1108500000",68.42,0,0,Unclassified
JLG,ASX:JLG,Johns Lyng Group Limited (ASX:JLG),https://www.listcorp.com/asx/jlg/johns-lyng-group-limited,"	1103100000",3.92,0,0,Industrials
GEM,ASX:GEM,G8 Education Limited (ASX:GEM),https://www.listcorp.com/asx/gem/g8-education-limited,"	1100930000",1.36,0,0,Consumer Discretionary
PGF,ASX:PGF,PM Capital Global Opportunities Fund (ASX:PGF),https://www.listcorp.com/asx/pgf/pm-capital-global-opportunities-fund,"	1096790000",2.29,0,0,Financials
SIQ,ASX:SIQ,Smartgroup Corporation Ltd (ASX:SIQ),https://www.listcorp.com/asx/siq/smartgroup-corporation-ltd,"	1094920000",8.17,0,0,Industrials
ASB,ASX:ASB,Austal Limited (ASX:ASB),https://www.listcorp.com/asx/asb/austal-limited,"	1082590000",2.98,0,0,Industrials
LIC,ASX:LIC,Lifestyle Communities Limited (ASX:LIC),https://www.listcorp.com/asx/lic/lifestyle-communities-limited,"	1072530000",8.81,0,0,Real Estate
BOE,ASX:BOE,Boss Energy Limited (ASX:BOE),https://www.listcorp.com/asx/boe/boss-energy-limited,"	1057000000",2.58,0,0,Energy
MMS,ASX:MMS,McMillan Shakespeare Limited (ASX:MMS),https://www.listcorp.com/asx/mms/mcmillan-shakespeare-limited,"	1049520000",15.07,0,0,Industrials
SML,ASX:QSML,Vaneck Vectors MSCI Inter Small Companies Qual ETF (ASX:QSML),https://www.listcorp.com/asx/qsml/vaneck-vectors-msci-inter-small-companies-qual-etf,"	1046950000",31.93,0,0,Unclassified
ABG,ASX:ABG,Abacus Group (ASX:ABG),https://www.listcorp.com/asx/abg/abacus-group,"	1045580000",1.17,0,0,Real Estate
KAR,ASX:KAR,Karoon Energy Ltd (ASX:KAR),https://www.listcorp.com/asx/kar/karoon-energy-ltd,"	1044340000",1.345,0,0,Energy
VGB,ASX:VGB,Vanguard Australian Government Bond Index ETF (ASX:VGB),https://www.listcorp.com/asx/vgb/vanguard-australian-government-bond-index-etf,"	1044240000",46.65,0,0,Unclassified
KLS,ASX:KLS,Kelsian Group Limited (ASX:KLS),https://www.listcorp.com/asx/kls/kelsian-group-limited,"	1038470000",3.83,0,0,Industrials
VSO,ASX:VSO,Vanguard MSCI Australian Small Companies Index ETF (ASX:VSO),https://www.listcorp.com/asx/vso/vanguard-msci-australian-small-companies-index-etf,"	1033410000",70.15,0,0,Unclassified
OAT,ASX:MOAT,VanEck Morningstar Wide Moat ETF (ASX:MOAT),https://www.listcorp.com/asx/moat/vaneck-morningstar-wide-moat-etf,"	1031620000",133.61,0,0,Unclassified
HLS,ASX:HLS,Healius Limited (ASX:HLS),https://www.listcorp.com/asx/hls/healius-limited,"	1027480000",1.415,0,0,Health Care
MYR,ASX:MYR,Myer Holdings Limited (ASX:MYR),https://www.listcorp.com/asx/myr/myer-holdings-limited,"	1009260000",1.205,0,0,Consumer Discretionary
CMW,ASX:CMW,Cromwell Property Group (ASX:CMW),https://www.listcorp.com/asx/cmw/cromwell-property-group,"	1008260000",0.385,0,0,Real Estate
DGR,ASX:VDGR,Vanguard Diversified Growth Index ETF (ASX:VDGR),https://www.listcorp.com/asx/vdgr/vanguard-diversified-growth-index-etf,"	993676000",63.87,0,0,Unclassified
NAN,ASX:NAN,Nanosonics Limited (ASX:NAN),https://www.listcorp.com/asx/nan/nanosonics,"	992295000",3.27,0,0,Health Care
BVS,ASX:BVS,Bravura Solutions Limited (ASX:BVS),https://www.listcorp.com/asx/bvs/bravura-solutions-limited,"	990862000",2.21,0,0,Information Technology
LFG,ASX:LFG,Liberty Financial Group Limited (ASX:LFG),https://www.listcorp.com/asx/lfg/liberty-financial-group-limited,"	986700000",3.25,0,0,Financials
CAT,ASX:CAT,Catapult Group International Limited (ASX:CAT),https://www.listcorp.com/asx/cat/catapult-group-international-limited,"	982555000",3.62,0,0,Information Technology
