Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
0001.HK,CK Hutchison Holdings Limited,Industrials,Conglomerates,2020,7.56,132.29913826823093,0.02322899164352509,1.991223099912231,2.9139999999999997,5.8321079879841475,0.3543084785859352,0.3332654843130425,0.06609098052434469,168869286821.7461,1254596000000.0,44.090736389160156
0003.HK,HK & CHINA GAS,Utilities,Utilities - Regulated Gas,2020,0.322,3.7054058303038464,0.04070795753532402,1.8985967736026168,0.322903,28.52116164213382,0.2863577503889401,2.4784907428112968,0.03516001067588571,171369046184.83008,150280200000.0,9.18381404876709
0002.HK,CLP HOLDINGS,Utilities,Utilities - Regulated Electric,2020,4.53,45.9486645989009,0.04949772235338317,1.8594052646619883,4.27,13.192483763031612,0.23296034290642223,1.3006243373602357,0.07145014338797503,150985577451.1377,234233000000.0,59.7619514465332
0005.HK,HSBC HOLDINGS,Financial Services,Banks - Diversified,2020,0.19,10.95824595669525,0.0017522495412450522,14.557252615917461,0.0,170.58723851254112,0.08447223409973446,2.957733878712591,0.0,581026116335.9375,2984164000000.0,32.41157531738281
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate - Development,2020,1.27,51.98051147896603,0.015206910801078336,1.554326017274707,0.275,15.039166127602885,0.16597729195773234,0.36744042023873497,0.014398101013954293,58369380516.604004,254095000000.0,19.099740982055664
0008.HK,PCCW,Communication Services,Telecom Services,2020,-0.1322,1.2831575878260693,-0.010425290528316929,7.218459495351926,0.32180000000000003,-24.67838971228895,0.6189658520630832,2.5425428263194947,0.09863652566683373,25255077893.831543,97839000000.0,3.2624831199645996
0006.HK,POWER ASSETS,Utilities,Utilities - Independent Power Producers,2020,2.87,39.77551574700121,0.06554643406875321,1.1036500483684497,2.8,11.310778096162483,0.038930220625962034,0.8161285284763083,0.08625487546507216,69179950844.82275,93552000000.0,32.46193313598633
0011.HK,HANG SENG BANK,Financial Services,Banks - Regional,2020,8.36,97.27616371150572,0.009482397585616895,9.606086410655312,6.7,13.250163867713162,0.01226455247140705,1.1387308638383333,0.060484943031642965,208501621168.79883,1759787000000.0,110.77136993408203
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate Services,2020,-1.13,67.64369072472357,-0.006856842826567708,1.4104456536064618,0.45,-13.183007198097433,0.17397069489496705,0.22022450245171737,0.030207833653693804,20283777798.31543,224739000000.0,14.896798133850098
0012.HK,HENDERSON LAND,Real Estate,Real Estate - Diversified,2020,2.11,67.66796200813465,0.022104288344715856,1.3880135584240438,1.8,11.093833887181576,0.1912697603706025,0.34592425731898285,0.07689682190987872,113327208167.5,461087000000.0,23.407989501953125
