Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
ETF,ASX:CETF,VanEck FTSE China A50 ETF (ASX:CETF),https://www.listcorp.com/asx/cetf/vaneck-ftse-china-a50-etf,35045200,57.06,0,0,Unclassified
KP2,ASX:KP2,Kore Potash Plc (ASX:KP2),https://www.listcorp.com/asx/kp2/kore-potash-plc,34965600,0.051,0,0,Materials
GBR,ASX:GBR,Great Boulder Resources Limited (ASX:GBR),https://www.listcorp.com/asx/gbr/great-boulder-resources,34908900,0.047,0,0,Materials
3DP,ASX:3DP,Pointerra Limited (ASX:3DP),https://www.listcorp.com/asx/3dp/pointerra-limited,34618300,0.043,0,0,Information Technology
DNA,ASX:DNA,Donaco International Limited (ASX:DNA),https://www.listcorp.com/asx/dna/donaco-international-limited,34590900,0.028,0,0,Consumer Discretionary
PPK,ASX:PPK,PPK Group Limited (ASX:PPK),https://www.listcorp.com/asx/ppk/ppk-group,34508700,0.38,0,0,Materials
IGA,ASX:EIGA,eInvest Income Generator Fund (Managed Fund) (ASX:EIGA),https://www.listcorp.com/asx/eiga/einvest-income-generator-fund-managed-fund,34062600,3.94,0,0,Unclassified
ABV,ASX:ABV,Advanced Braking Technology Limited (ASX:ABV),https://www.listcorp.com/asx/abv/advanced-braking-technology-limited,33863700,0.087,0,0,Consumer Discretionary
HE8,ASX:HE8,Helios Energy Limited (ASX:HE8),https://www.listcorp.com/asx/he8/helios-energy-limited,33852600,0.013,0,0,Energy
VTX,ASX:VTX,Vertex Minerals Limited (ASX:VTX),https://www.listcorp.com/asx/vtx/vertex-minerals-limited,33836200,0.185,0,0,Materials
ATX,ASX:ATX,Amplia Therapeutics Limited (ASX:ATX),https://www.listcorp.com/asx/atx/amplia-therapeutics-limited,33506000,0.087,0,0,Health Care
MFD,ASX:MFD,Mayfield Childcare Limited (ASX:MFD),https://www.listcorp.com/asx/mfd/mayfield-childcare-limited,33449200,0.51,0,0,Consumer Discretionary
SNS,ASX:SNS,SenSen Networks Limited (ASX:SNS),https://www.listcorp.com/asx/sns/sensen-networks-limited,33307600,0.042,0,0,Information Technology
SRZ,ASX:SRZ,Stellar Resources Limited (ASX:SRZ),https://www.listcorp.com/asx/srz/stellar-resources-limited,33276000,0.016,0,0,Materials
UST,ASX:AUST,BetaShares Managed Risk Australian Share Fund (managed fund) (ASX:AUST),https://www.listcorp.com/asx/aust/betashares-managed-risk-australian-share-fund-managed-fund,33060900,17.99,0,0,Unclassified
PTX,ASX:PTX,Prescient Therapeutics Limited (ASX:PTX),https://www.listcorp.com/asx/ptx/prescient-therapeutics-limited,33018100,0.041,0,0,Health Care
SOP,ASX:SOP,Synertec Corporation Limited (ASX:SOP),https://www.listcorp.com/asx/sop/synertec-corporation-limited,32717500,0.063,0,0,Industrials
RTG,ASX:RTG,RTG Mining (ASX:RTG),https://www.listcorp.com/asx/rtg/rtg-mining,32547300,0.03,0,0,Materials
JAT,ASX:JAT,Jatcorp Limited (ASX:JAT),https://www.listcorp.com/asx/jat/jatcorp-limited,32474000,0.39,0,0,Consumer Discretionary
UDS,ASX:AUDS,BetaShares Strong Australian Dollar Fund (hedge fund) (ASX:AUDS),https://www.listcorp.com/asx/auds/betashares-strong-australian-dollar-fund-hedge-fund,32440500,5.72,0,0,Unclassified
WCN,ASX:WCN,White Cliff Minerals Limited (ASX:WCN),https://www.listcorp.com/asx/wcn/white-cliff-minerals-limited,32138000,0.017,0,0,Materials
ATH,ASX:ATH,Alterity Therapeutics Limited (ASX:ATH),https://www.listcorp.com/asx/ath/alterity-therapeutics-limited,31922000,0.006,0,0,Health Care
WLD,ASX:WLD,Wellard Limited (ASX:WLD),https://www.listcorp.com/asx/wld/wellard-limited,31875000,0.06,0,0,Consumer Staples
ARD,ASX:ARD,Argent Minerals Limited (ASX:ARD),https://www.listcorp.com/asx/ard/argent-minerals-limited,31804100,0.022,0,0,Materials
AEV,ASX:AEV,Avenira Limited (ASX:AEV),https://www.listcorp.com/asx/aev/avenira-limited,31690300,0.01,0,0,Materials
ADA,ASX:ADA,Adacel Technologies Limited (ASX:ADA),https://www.listcorp.com/asx/ada/adacel-technologies-limited,31674900,0.415,0,0,Information Technology
GTI,ASX:GTI,Gratifii Limited (ASX:GTI),https://www.listcorp.com/asx/gti/gratifii-limited,31639600,0.105,0,0,Information Technology
TDO,ASX:TDO,3D Energi Limited (ASX:TDO),https://www.listcorp.com/asx/tdo/3d-energi-limited,31490000,0.095,0,0,Energy
BBF,ASX:DBBF,BetaShares Ethical Diversified Balanced ETF (ASX:DBBF),https://www.listcorp.com/asx/dbbf/betashares-ethical-diversified-balanced-etf,31456000,26.61,0,0,Unclassified
FLO,ASX:CFLO,Betashares Global Cash Flow Kings ETF (ASX:CFLO),https://www.listcorp.com/asx/cflo/betashares-global-cash-flow-kings-etf,31447400,18.9,0,0,Unclassified
AUN,ASX:AUN,Aurumin Limited (ASX:AUN),https://www.listcorp.com/asx/aun/aurumin-limited,31446300,0.069,0,0,Materials
WAK,ASX:WAK,WA Kaolin Limited (ASX:WAK),https://www.listcorp.com/asx/wak/wa-kaolin-limited,31418000,0.06,0,0,Materials
WTM,ASX:WTM,Waratah Minerals Limited (ASX:WTM),https://www.listcorp.com/asx/wtm/waratah-minerals-limited,31331300,0.155,0,0,Materials
RHT,ASX:RHT,Resonance Health Limited (ASX:RHT),https://www.listcorp.com/asx/rht/resonance-health-limited,31253900,0.068,0,0,Health Care
A3D,ASX:A3D,Aurora Labs Limited (ASX:A3D),https://www.listcorp.com/asx/a3d/aurora-labs-limited,31011300,0.078,0,0,Industrials
ARN,ASX:ARN,Aldoro Resources Limited (ASX:ARN),https://www.listcorp.com/asx/arn/aldoro-resources-limited,30963500,0.23,0,0,Materials
GEN,ASX:HGEN,Global X Hydrogen ETF (ASX:HGEN),https://www.listcorp.com/asx/hgen/global-x-hydrogen-etf,30937700,5.05,0,0,Unclassified
VMM,ASX:VMM,Viridis Mining and Minerals Limited (ASX:VMM),https://www.listcorp.com/asx/vmm/viridis-mining-and-minerals-limited,30918000,0.42,0,0,Materials
ICI,ASX:ICI,iCandy Interactive Limited (ASX:ICI),https://www.listcorp.com/asx/ici/icandy-interactive-limited,30729800,0.024,0,0,Communication Services
ILA,ASX:ILA,Island Pharmaceuticals Limited (ASX:ILA),https://www.listcorp.com/asx/ila/island-pharmaceuticals-limited,30728900,0.17,0,0,Health Care
NOX,ASX:NOX,Noxopharm Limited (ASX:NOX),https://www.listcorp.com/asx/nox/noxopharm-limited,30685000,0.105,0,0,Health Care
TOE,ASX:TOE,Toro Energy Limited (ASX:TOE),https://www.listcorp.com/asx/toe/toro-energy-limited,30671900,0.255,0,0,Energy
ERM,ASX:ERM,Emmerson Resources Limited (ASX:ERM),https://www.listcorp.com/asx/erm/emmerson-resources-limited,30503700,0.056,0,0,Materials
MPA,ASX:MPA,Mad Paws Holdings Limited (ASX:MPA),https://www.listcorp.com/asx/mpa/mad-paws-holdings-limited,30468200,0.075,0,0,Consumer Discretionary
WTL,ASX:WTL,WT Financial Group Limited (ASX:WTL),https://www.listcorp.com/asx/wtl/wt-financial-group-limited,30454500,0.089,0,0,Financials
PWN,ASX:PWN,Parkway Corporate Limited (ASX:PWN),https://www.listcorp.com/asx/pwn/parkway-corporate-limited,30438300,0.011,0,0,Materials
BRU,ASX:BRU,Buru Energy Limited (ASX:BRU),https://www.listcorp.com/asx/bru/buru-energy,30397000,0.039,0,0,Energy
BML,ASX:BML,Boab Metals Limited (ASX:BML),https://www.listcorp.com/asx/bml/boab-metals-limited,30341400,0.13,0,0,Materials
NGY,ASX:NGY,NuEnergy Gas Limited (ASX:NGY),https://www.listcorp.com/asx/ngy/nuenergy-gas-limited,30272000,0.017,0,0,Energy
YOJ,ASX:YOJ,Yojee Limited (ASX:YOJ),https://www.listcorp.com/asx/yoj/yojee-limited,30259400,0.11,0,0,Information Technology
TI1,ASX:TI1,Tombador Iron Limited (ASX:TI1),https://www.listcorp.com/asx/ti1/tombador-iron-limited,30213600,0.35,0,0,Materials
HMX,ASX:HMX,Hammer Metals Limited (ASX:HMX),https://www.listcorp.com/asx/hmx/hammer-metals-limited,30183800,0.034,0,0,Materials
FXG,ASX:FXG,Felix Gold Limited (ASX:FXG),https://www.listcorp.com/asx/fxg/felix-gold-limited,29907700,0.091,0,0,Materials
CAE,ASX:CAE,Cannindah Resources Limited (ASX:CAE),https://www.listcorp.com/asx/cae/cannindah-resources-limited,29851300,0.041,0,0,Materials
AHF,ASX:AHF,Australian Dairy Nutritionals Limited (ASX:AHF),https://www.listcorp.com/asx/ahf/australian-dairy-nutritionals-limited,29732900,0.04,0,0,Consumer Staples
JRV,ASX:JRV,Jervois Global Limited (ASX:JRV),https://www.listcorp.com/asx/jrv/jervois-global-limited,29730400,0.011,0,0,Materials
CCG,ASX:CCG,Comms Group Limited (ASX:CCG),https://www.listcorp.com/asx/ccg/comms-group-limited,29538000,0.076,0,0,Communication Services
CRI,ASX:CRI,Critica Limited (ASX:CRI),https://www.listcorp.com/asx/cri/critica-limited,29395500,0.011,0,0,Materials
BMR,ASX:BMR,Ballymore Resources Limited (ASX:BMR),https://www.listcorp.com/asx/bmr/ballymore-resources-limited,29160500,0.165,0,0,Materials
FTL,ASX:FTL,Firetail Resources Limited (ASX:FTL),https://www.listcorp.com/asx/ftl/firetail-resources-limited,29149800,0.082,0,0,Materials
LEG,ASX:LEG,Legend Mining Limited (ASX:LEG),https://www.listcorp.com/asx/leg/legend-mining-limited,29094800,0.01,0,0,Materials
LDX,ASX:LDX,Lumos Diagnostics Holdings Limited (ASX:LDX),https://www.listcorp.com/asx/ldx/lumos-diagnostics-holdings-limited,29084600,0.039,0,0,Health Care
QHL,ASX:QHL,Quickstep Holdings Limited (ASX:QHL),https://www.listcorp.com/asx/qhl/quickstep-holdings-limited,29049100,0.405,0,0,Industrials
EMH,ASX:EMH,European Metals Holdings Limited (ASX:EMH),https://www.listcorp.com/asx/emh/european-metals-holdings,29042300,0.14,0,0,Materials
CAP,ASX:GCAP,VanEck Bentham Global Capital Securities Active ETF (Managed Fund) (ASX:GCAP),https://www.listcorp.com/asx/gcap/vaneck-bentham-global-capital-securities-active-etf-managed-fund,28916700,8.86,0,0,Unclassified
CDX,ASX:CDX,CardieX Limited (ASX:CDX),https://www.listcorp.com/asx/cdx/cardiex-limited,28753200,0.093,0,0,Health Care
COB,ASX:COB,Cobalt Blue Holdings Limited (ASX:COB),https://www.listcorp.com/asx/cob/cobalt-blue-holdings-limited,28728300,0.068,0,0,Materials
JAL,ASX:JAL,Jameson Resources Limited (ASX:JAL),https://www.listcorp.com/asx/jal/jameson-resources-limited,28704500,0.047,0,0,Materials
COV,ASX:COV,Cleo Diagnostics Limited (ASX:COV),https://www.listcorp.com/asx/cov/cleo-diagnostics-limited,28560000,0.35,0,0,Health Care
S2R,ASX:S2R,S2 Resources Ltd (ASX:S2R),https://www.listcorp.com/asx/s2r/s2-resources-ltd,28530100,0.063,0,0,Materials
AQI,ASX:AQI,Alicanto Minerals Limited (ASX:AQI),https://www.listcorp.com/asx/aqi/alicanto-minerals,28429400,0.038,0,0,Materials
KME,ASX:KME,Kip McGrath Education Centres Limited (ASX:KME),https://www.listcorp.com/asx/kme/kip-mcgrath-education,28421300,0.5,0,0,Consumer Discretionary
GPR,ASX:GPR,Geopacific Resources Limited (ASX:GPR),https://www.listcorp.com/asx/gpr/geopacific-resources,28393700,0.024,0,0,Materials
UBN,ASX:UBN,Urbanise.com Limited (ASX:UBN),https://www.listcorp.com/asx/ubn/urbanise.com-limited,28384000,0.44,0,0,Information Technology
SIX,ASX:SIX,Sprintex Limited (ASX:SIX),https://www.listcorp.com/asx/six/sprintex-limited,28372500,0.052,0,0,Consumer Discretionary
CLA,ASX:CLA,Celsius Resources Limited (ASX:CLA),https://www.listcorp.com/asx/cla/celsius-resources-limited,28281300,0.011,0,0,Materials
GWR,ASX:GWR,GWR Group Limited (ASX:GWR),https://www.listcorp.com/asx/gwr/gwr-group,28267100,0.088,0,0,Materials
MI6,ASX:MI6,Minerals 260 Limited (ASX:MI6),https://www.listcorp.com/asx/mi6/minerals-260-limited,28080000,0.12,0,0,Materials
CSX,ASX:CSX,CleanSpace Holdings Limited (ASX:CSX),https://www.listcorp.com/asx/csx/cleanspace-holdings-limited,28070900,0.36,0,0,Health Care
CSS,ASX:CSS,Clean Seas Seafood Limited (ASX:CSS),https://www.listcorp.com/asx/css/clean-seas-seafood-limited,27680600,0.1375,0,0,Consumer Staples
SSO,ASX:SSO,SPDR S&P/ASX Small Ordinaries Fund (ASX:SSO),https://www.listcorp.com/asx/sso/spdr-s-and-p-asx-small-ordinaries-fund,27552000,14.83,0,0,Unclassified
AMX,ASX:AMX,Aerometrex Limited (ASX:AMX),https://www.listcorp.com/asx/amx/aerometrex-limited,27547300,0.29,0,0,Industrials
KPO,ASX:KPO,Kalina Power Limited (ASX:KPO),https://www.listcorp.com/asx/kpo/kalina-power-limited,27399900,0.01,0,0,Utilities
CRD,ASX:HCRD,BetaShares Interest Rate Hedged Australian Investment Grade Corporate Bond ETF (ASX:HCRD),https://www.listcorp.com/asx/hcrd/betashares-interest-rate-hedged-australian-investment-grade-corporate-bond-etf,27376700,24.84,0,0,Unclassified
