Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
NUC,ASX:NUC,Nuchev Limited (ASX:NUC),https://www.listcorp.com/asx/nuc/nuchev-limited,16829000,0.115,0,0,Consumer Staples
POS,ASX:POS,Poseidon Nickel Limited (ASX:POS),https://www.listcorp.com/asx/pos/poseidon-nickel-limited,16815500,0.004,0,0,Materials
MGT,ASX:MGT,Magnetite Mines Limited (ASX:MGT),https://www.listcorp.com/asx/mgt/magnetite-mines-limited,16725900,0.145,0,0,Materials
KZR,ASX:KZR,Kalamazoo Resources Limited (ASX:KZR),https://www.listcorp.com/asx/kzr/kalamazoo-resources-limited,16704300,0.083,0,0,Materials
SOC,ASX:SOC,SOCO Corporation Limited (ASX:SOC),https://www.listcorp.com/asx/soc/soco-corporation-limited,16672800,0.12,0,0,Information Technology
ACU,ASX:ACU,Acumentis Group Limited (ASX:ACU),https://www.listcorp.com/asx/acu/acumentis-group-limited,16609100,0.075,0,0,Real Estate
SHY,ASX:USHY,Global X USD High Yield Bond ETF (Currency Hedged) (ASX:USHY),https://www.listcorp.com/asx/ushy/global-x-usd-high-yield-bond-etf-currency-hedged,16605700,10.57,0,0,Unclassified
SLS,ASX:SLS,Solstice Minerals Limited (ASX:SLS),https://www.listcorp.com/asx/sls/solstice-minerals-limited,16555600,0.165,0,0,Materials
HMD,ASX:HMD,HeraMED Limited (ASX:HMD),https://www.listcorp.com/asx/hmd/heramed-limited,16538800,0.021,0,0,Health Care
CBL,ASX:CBL,Control Bionics Limited (ASX:CBL),https://www.listcorp.com/asx/cbl/control-bionics-limited,16338900,0.066,0,0,Health Care
MGL,ASX:MGL,Magontec Limited (ASX:MGL),https://www.listcorp.com/asx/mgl/magontec-limited,16327000,0.19,0,0,Materials
BAS,ASX:BAS,Bass Oil Limited (ASX:BAS),https://www.listcorp.com/asx/bas/bass-oil-limited,16266600,0.056,0,0,Energy
GUE,ASX:GUE,Global Uranium And Enrichment Ltd (ASX:GUE),https://www.listcorp.com/asx/gue/global-uranium-and-enrichment-ltd,16206900,0.061,0,0,Materials
C29,ASX:C29,C29 Metals Limited (ASX:C29),https://www.listcorp.com/asx/c29/c29-metals-limited,16199500,0.093,0,0,Materials
REZ,ASX:REZ,Resources & Energy Group Limited (ASX:REZ),https://www.listcorp.com/asx/rez/resources-and-energy-group-limited,16119300,0.024,0,0,Materials
OEC,ASX:OEC,Orbital Corporation Limited (ASX:OEC),https://www.listcorp.com/asx/oec/orbital-corporation,16066300,0.11,0,0,Industrials
MAG,ASX:MAG,Magmatic Resources Limited (ASX:MAG),https://www.listcorp.com/asx/mag/magmatic-resources-limited,16056500,0.0385,0,0,Materials
