Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
ICR,ASX:ICR,Intelicare Holdings Limited (ASX:ICR),https://www.listcorp.com/asx/icr/intelicare-holdings-limited,4861880,0.01,0,0,Health Care
NTM,ASX:NTM,NT Minerals Limited (ASX:NTM),https://www.listcorp.com/asx/ntm/nt-minerals-limited,4843610,0.003,0,0,Materials
CPO,ASX:CPO,Culpeo Minerals Limited (ASX:CPO),https://www.listcorp.com/asx/cpo/culpeo-minerals-limited,4839170,0.022,0,0,Materials
IMI,ASX:IMI,Infinity Mining Limited (ASX:IMI),https://www.listcorp.com/asx/imi/infinity-mining-limited,4802100,0.014,0,0,Materials
SHE,ASX:SHE,Stonehorse Energy Limited (ASX:SHE),https://www.listcorp.com/asx/she/stonehorse-energy-limited,4791050,0.007,0,0,Energy
SP3,ASX:SP3,Spectur Limited (ASX:SP3),https://www.listcorp.com/asx/sp3/spectur-limited,4783310,0.016,0,0,Information Technology
AUG,ASX:AUG,Augustus Minerals Limited (ASX:AUG),https://www.listcorp.com/asx/aug/augustus-minerals-limited,4767660,0.04,0,0,Materials
HPP,ASX:HPP,Health and Plant Protein Group Limited (ASX:HPP),https://www.listcorp.com/asx/hpp/health-and-plant-protein-group-limited,4765940,0.042,0,0,Consumer Staples
GTH,ASX:GTH,Gathid Limited (ASX:GTH),https://www.listcorp.com/asx/gth/gathid-limited,4743450,0.018,0,0,Information Technology
DCL,ASX:DCL,Domacom Limited (ASX:DCL),https://www.listcorp.com/asx/dcl/domacom-limited,4742610,0.011,0,0,Financials
G88,ASX:G88,Golden Mile Resources Limited (ASX:G88),https://www.listcorp.com/asx/g88/golden-mile-resources-limited,4728230,0.01,0,0,Materials
RLG,ASX:RLG,RooLife Group Ltd (ASX:RLG),https://www.listcorp.com/asx/rlg/roolife-group-ltd,4707980,0.004,0,0,Communication Services
NSM,ASX:NSM,North Stawell Minerals Ltd (ASX:NSM),https://www.listcorp.com/asx/nsm/north-stawell-minerals-ltd,4635500,0.017,0,0,Materials
ICN,ASX:ICN,Icon Energy Limited (ASX:ICN),https://www.listcorp.com/asx/icn/icon-energy-limited,4608080,0.006,0,0,Energy
RBX,ASX:RBX,Resource Base Limited (ASX:RBX),https://www.listcorp.com/asx/rbx/resource-base-limited,4607380,0.04,0,0,Materials
CDE,ASX:CDE,Codeifai Limited (ASX:CDE),https://www.listcorp.com/asx/cde/codeifai-limited,4563620,0.001,0,0,Industrials
SBW,ASX:SBW,Shekel Brainweigh Limited (ASX:SBW),https://www.listcorp.com/asx/sbw/shekel-brainweigh,4561220,0.02,0,0,Information Technology
OM1,ASX:OM1,Omnia Metals Group Limited (ASX:OM1),https://www.listcorp.com/asx/om1/omnia-metals-group-limited,4550570,0.078,0,0,Materials
SLB,ASX:SLB,Stelar Metals Limited (ASX:SLB),https://www.listcorp.com/asx/slb/stelar-metals-limited,4512610,0.071,0,0,Materials
SCN,ASX:SCN,Scorpion Minerals Limited (ASX:SCN),https://www.listcorp.com/asx/scn/scorpion-minerals-limited,4504020,0.011,0,0,Materials
KGD,ASX:KGD,Kula Gold Limited (ASX:KGD),https://www.listcorp.com/asx/kgd/kula-gold-limited,4502480,0.007,0,0,Materials
MHC,ASX:MHC,Manhattan Corporation Limited (ASX:MHC),https://www.listcorp.com/asx/mhc/manhattan-corporation-limited,4497970,0.001,0,0,Materials
A8G,ASX:A8G,Australasian Metals Limited (ASX:A8G),https://www.listcorp.com/asx/a8g/australasian-metals-limited,4482360,0.086,0,0,Materials
TTI,ASX:TTI,Traffic Technologies Limited (ASX:TTI),https://www.listcorp.com/asx/tti/traffic-technologies-limited,4475270,0.003,0,0,Industrials
BMM,ASX:BMM,Bayan Mining and Minerals Limited (ASX:BMM),https://www.listcorp.com/asx/bmm/bayan-mining-and-minerals-limited,4474110,0.055,0,0,Materials
ERL,ASX:ERL,Empire Resources Limited (ASX:ERL),https://www.listcorp.com/asx/erl/empire-resources-limited,4451740,0.002,0,0,Materials
PAT,ASX:PAT,Patriot Lithium Limited (ASX:PAT),https://www.listcorp.com/asx/pat/patriot-lithium-limited,4449660,0.043,0,0,Materials
RIE,ASX:RIE,Riedel Resources Limited (ASX:RIE),https://www.listcorp.com/asx/rie/riedel-resources-limited,4447670,0.002,0,0,Materials
MEG,ASX:MEG,Megado Minerals Limited (ASX:MEG),https://www.listcorp.com/asx/meg/megado-minerals-limited,4382830,0.014,0,0,Materials
AX8,ASX:AX8,Accelerate Resources Limited (ASX:AX8),https://www.listcorp.com/asx/ax8/accelerate-resources-limited,4352280,0.007,0,0,Materials
NES,ASX:NES,Nelson Resources Limited (ASX:NES),https://www.listcorp.com/asx/nes/nelson-resources-limited,4343860,0.003,0,0,Materials
OSX,ASX:OSX,Osteopore Limited (ASX:OSX),https://www.listcorp.com/asx/osx/osteopore-limited,4321640,0.037,0,0,Health Care
GAB,ASX:GGAB,Betashares Geared Long Australian Government Bond Fund (hedge fund) (ASX:GGAB),https://www.listcorp.com/asx/ggab/betashares-geared-long-australian-government-bond-fund-hedge-fund,4290000,21.45,0,0,Unclassified
ZMM,ASX:ZMM,Zimi Limited (ASX:ZMM),https://www.listcorp.com/asx/zmm/zimi-limited,4256380,0.011,0,0,Information Technology
BOD,ASX:BOD,Bod Science Limited (ASX:BOD),https://www.listcorp.com/asx/bod/bod-science-limited,4256120,0.024,0,0,Health Care
EMT,ASX:EMT,EMetals Limited (ASX:EMT),https://www.listcorp.com/asx/emt/emetals-limited,4250000,0.005,0,0,Materials
GED,ASX:GED,Golden Deeps Limited (ASX:GED),https://www.listcorp.com/asx/ged/golden-deeps-limited,4242630,0.028,0,0,Materials
IPB,ASX:IPB,IPB Petroleum Limited (ASX:IPB),https://www.listcorp.com/asx/ipb/ipb-petroleum-limited,4238420,0.006,0,0,Energy
BMO,ASX:BMO,Bastion Minerals Limited (ASX:BMO),https://www.listcorp.com/asx/bmo/bastion-minerals-limited,4223620,0.005,0,0,Materials
ZEU,ASX:ZEU,Zeus Resources Limited (ASX:ZEU),https://www.listcorp.com/asx/zeu/zeus-resources-limited,4222210,0.007,0,0,Energy
PHQ,ASX:JPHQ,JPMorgan US 100Q Equity Premium Income Active ETF (Managed Fund) (Hedged) (ASX:JPHQ),https://www.listcorp.com/asx/jphq/jpmorgan-us-100q-equity-premium-income-active-etf-managed-fund-hedged,4221300,59.9,0,0,Unclassified
EVR,ASX:EVR,EV Resources Limited (ASX:EVR),https://www.listcorp.com/asx/evr/ev-resources-limited,4188810,0.003,0,0,Materials
CBY,ASX:CBY,Canterbury Resources Limited (ASX:CBY),https://www.listcorp.com/asx/cby/canterbury-resources-limited,4146260,0.021,0,0,Materials
CMX,ASX:CMX,ChemX Materials Limited (ASX:CMX),https://www.listcorp.com/asx/cmx/chemx-materials-limited,4128710,0.032,0,0,Materials
MML,ASX:MML,McLaren Minerals Limited (ASX:MML),https://www.listcorp.com/asx/mml/mclaren-minerals-limited,4127600,0.04,0,0,Materials
HAR,ASX:HAR,Haranga Resources Limited (ASX:HAR),https://www.listcorp.com/asx/har/haranga-resources,4118350,0.046,0,0,Materials
OD6,ASX:OD6,OD6 Metals Limited (ASX:OD6),https://www.listcorp.com/asx/od6/od6-metals-limited,4118090,0.032,0,0,Materials
PSL,ASX:PSL,Paterson Resources Limited (ASX:PSL),https://www.listcorp.com/asx/psl/paterson-resources-limited,4104340,0.009,0,0,Materials
EMU,ASX:EMU,Emu NL (ASX:EMU),https://www.listcorp.com/asx/emu/emu-nl,4101980,0.028,0,0,Materials
VBS,ASX:VBS,Vectus Biosystems Limited (ASX:VBS),https://www.listcorp.com/asx/vbs/vectus-biosystems-limited,4100500,0.077,0,0,Health Care
CUS,ASX:CUS,Copper Search Limited (ASX:CUS),https://www.listcorp.com/asx/cus/copper-search-limited,4097800,0.036,0,0,Materials
MDI,ASX:MDI,Middle Island Resources (ASX:MDI),https://www.listcorp.com/asx/mdi/middle-island-resources,4096390,0.015,0,0,Materials
