Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
WDS,Woodside Energy Group Ltd,Energy,Oil & Gas E&P,2019,nan,nan,nan,nan,1.802982,nan,nan,nan,0.07304456389911079,46867443697.59375,nan,24.68331527709961
RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,2019,nan,nan,nan,nan,4.272,nan,nan,nan,0.05543268033850055,28608300055.41992,nan,77.06645202636719
QBE,QBE Insurance Group Limited,Financial Services,Insurance - Property & Casualty,2019,nan,nan,nan,nan,0.53,nan,nan,nan,0.0469341365113862,16999723117.233398,nan,11.292420387268066
SCG,Scentre Group,Real Estate,REIT - Retail,2019,nan,nan,nan,nan,0.2238,nan,nan,nan,0.07459215718714725,15606890824.46045,nan,3.0003154277801514
YAL,Yancoal Australia Ltd,Energy,Thermal Coal,2019,0.545,nan,nan,nan,0.2294,3.3997761000187023,nan,nan,0.12380739754901654,2446614311.2464294,nan,1.8528779745101929
ALD,Ampol Limited,Energy,Oil & Gas Refining & Marketing,2019,1.513,nan,nan,nan,0.9299999999999999,18.38710807603633,nan,nan,0.03342955471216271,6629488843.276978,nan,27.81969451904297
ALX,Atlas Arteria Limited,Industrials,Infrastructure Operations,2019,-0.013082,nan,nan,nan,0.275994,-427.40716571163426,nan,nan,0.049360971297447674,8112084329.9328,nan,5.5913405418396
URW,Unibail-Rodamco-Westfield SE,Real Estate,REIT - Retail,2019,nan,nan,nan,nan,0.5986959999999999,nan,nan,nan,0.06066295727529431,28152044920.46924,nan,9.869218826293945
OML,oOh!media Limited,Communication Services,Advertising Agencies,2019,nan,nan,nan,nan,0.089703,nan,nan,nan,0.033601885115351914,1438320235.8874512,nan,2.6695823669433594
KSL,Kina Securities Limited,Financial Services,Financial Conglomerates,2019,0.339818,nan,nan,nan,0.072819,2.540631451943606,nan,nan,0.08434447919645682,248601424.16207886,nan,0.8633522987365723
GRR,Grange Resources Limited,Basic Materials,Steel,2019,nan,nan,nan,nan,0.02,nan,nan,nan,0.13282286214857433,174268196.4954815,nan,0.15057648718357086
OMH,OM Holdings Limited,Basic Materials,Other Industrial Metals & Mining,2019,0.053836,nan,nan,nan,0.03,8.750859421299864,nan,nan,0.06367922410298009,361165686.9877548,nan,0.4711112678050995
URF,US Masters Residential Property Fund,Real Estate,REIT - Residential,2019,nan,nan,nan,nan,0.060000000000000005,nan,nan,nan,0.07384988656937866,573054089.6666412,nan,0.8124589323997498
D2O,Duxton Water Limited,Utilities,Utilities - Regulated Water,2019,0.063015,nan,nan,nan,0.052585,18.42321634841213,nan,nan,0.045295231694045854,181702033.006752,nan,1.1609389781951904
VLS,Vita Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2019,nan,nan,nan,nan,0.0375,nan,nan,nan,0.0687860400808448,30488835.34413576,nan,0.5451687574386597
SHM,Shriro Holdings Limited,Consumer Cyclical,Specialty Retail,2019,0.068,nan,nan,nan,0.11,6.368948694537667,nan,nan,0.2539896514178086,41756530.23970556,nan,0.4330885112285614
RKN,Reckon Limited,Technology,Software - Application,2019,nan,nan,nan,nan,0.03,nan,nan,nan,0.0900484479853952,37744681.62462115,nan,0.33315399289131165
5GN,5G Networks Limited,Technology,Information Technology Services,2019,nan,nan,nan,nan,0.045,nan,nan,nan,0.13684210411839648,100395416.22447968,nan,0.32884615659713745
ATM,PT Aneka Tambang Tbk,Basic Materials,Gold,2019,nan,nan,nan,nan,0.00507,nan,nan,nan,0.005638025896194765,4321934960.697144,nan,0.8992509245872498
KSL,Kina Securities Limited,Financial Services,Financial Conglomerates,2019,0.339818,nan,nan,nan,0.072819,2.540631802746946,nan,nan,0.08434446755040681,248601458.48827362,nan,0.8633524179458618
GRR,Grange Resources Limited,Basic Materials,Steel,2019,nan,nan,nan,nan,0.02,nan,nan,nan,0.13282286214857433,174268196.4954815,nan,0.15057648718357086
OMH,OM Holdings Limited,Basic Materials,Other Industrial Metals & Mining,2019,0.053836,nan,nan,nan,0.03,8.750859421299864,nan,nan,0.06367922410298009,361165686.9877548,nan,0.4711112678050995
URF,US Masters Residential Property Fund,Real Estate,REIT - Residential,2019,nan,nan,nan,nan,0.060000000000000005,nan,nan,nan,0.07384988656937866,573054089.6666412,nan,0.8124589323997498
D2O,Duxton Water Limited,Utilities,Utilities - Regulated Water,2019,0.063015,nan,nan,nan,0.052585,18.428721371543016,nan,nan,0.04528170111353691,181756327.212265,nan,1.1612858772277832
UOS,United Overseas Australia Ltd,Real Estate,Real Estate - Development,2019,nan,nan,nan,nan,0.025,nan,nan,nan,0.03429101395283128,1215398624.7630005,nan,0.7290539741516113
NZM,NZME Limited,Communication Services,Entertainment,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,51156866.18924141,nan,0.2740350663661957
CAA,Capral Limited,Basic Materials,Aluminum,2019,-0.264003,nan,nan,nan,0.300003,-9.767683251428968,nan,nan,0.11633895751361753,43923473.34728241,nan,2.578697681427002
VLS,Vita Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2019,nan,nan,nan,nan,0.0375,nan,nan,nan,0.06878604760139302,30488832.0107162,nan,0.5451686978340149
SHM,Shriro Holdings Limited,Consumer Cyclical,Specialty Retail,2019,0.068,nan,nan,nan,0.11,6.368949132807114,nan,nan,0.2539896339399011,41756533.11311722,nan,0.4330885410308838
RKN,Reckon Limited,Technology,Software - Application,2019,nan,nan,nan,nan,0.03,nan,nan,nan,0.09004846409598319,37744674.87171292,nan,0.33315393328666687
RKN,Reckon Limited,Technology,Software - Application,2019,nan,nan,nan,nan,0.03,nan,nan,nan,0.09004845604068847,37744678.24816704,nan,0.33315396308898926
5GN,5G Networks Limited,Technology,Information Technology Services,2019,nan,nan,nan,nan,0.045,nan,nan,nan,0.13684210411839648,100395416.22447968,nan,0.32884615659713745
